Objective	ID	Name
Acquire data	DFT-1157	Extract device data using exposed service
Acquire data	DFT-1019	Mobile backup extraction (s)
Acquire data	DFT-1159	Extract mobile data via deployed agent
Acquire data	DFT-1016	Live data collection
Acquire data	DFT-1114	Memory Acquisition via Cold Boot Attack
Acquire data	DFT-1003	Memory imaging
Acquire data	DFT-1022	Mobile device screenshot based capture
Acquire data	DFT-1017	Network packet capture
Acquire data	DFT-1015	Privacy preserving selective extraction
Acquire data	DFT-1162	Read data from a device via In-System Programming (ISP)
Acquire data	DFT-1027	Data read using JTAG (s)
Acquire data	DFT-1111	Recording system clock offset
Acquire data	DFT-1018	Remote data collection
Acquire data	DFT-1004	Selective file acquisition
Acquire data	DFT-1020	Mobile file system extraction
Acquire data	DFT-1175	Extract data using content queries
Acquire data	DFT-1164	Direct data read from a block device
Store acquired data	DFT-1025	Writing bitstream data to a forensic image format
Store acquired data	DFT-1026	Writing data to standard archive format
Read data from digital evidence storage formats	DFT-1045	Decode standard archive format
Read data from digital evidence storage formats	DFT-1042	Hash verification of source device against stored data
Read data from digital evidence storage formats	DFT-1043	Access forensic image content (bitstream)
Read data from digital evidence storage formats	DFT-1044	Mobile backup decoding
Read data from digital evidence storage formats	DFT-1102	Decode data from image from unmanaged NAND
Read data from digital evidence storage formats	DFT-1170	Decode forensic image format (logical)
Read data from digital evidence storage formats	DFT-1172	Access raw image content
Read data from digital evidence storage formats	DFT-1173	Extract data from captured screenshots
Read data from digital evidence storage formats	DFT-1174	Read evidential files stored directly on local file system
Reduce data under consideration	DFT-1047	Hash matching (reduce)
Reduce data under consideration	DFT-1048	Privacy protection via partial processing
Reduce data under consideration	DFT-1046	Privileged material protection
Access partitions, volumes and file systems data	DFT-1062	Decryption of encrypted file systems/volumes
Access partitions, volumes and file systems data	DFT-1061	Recover non-allocated files
Access partitions, volumes and file systems data	DFT-1150	Recover non-allocated files using residual file metadata (s)
Access partitions, volumes and file systems data	DFT-1064	File carving (s)
Access partitions, volumes and file systems data	DFT-1063	Identify file types
Access partitions, volumes and file systems data	DFT-1059	Identify partitions
Access partitions, volumes and file systems data	DFT-1060	Enumerate allocated files and folders
Access partitions, volumes and file systems data	DFT-1168	Identify volumes
Extract artifacts stored by the operating system	DFT-1067	Cloud synchronisation feature examination (OS)
Extract artifacts stored by the operating system	DFT-1065	Content indexer examination (OS)
Extract artifacts stored by the operating system	DFT-1097	Installed programs identification (OS)
Extract artifacts stored by the operating system	DFT-1066	Log file examination (OS)
Extract artifacts stored by the operating system	DFT-1068	Recently used file identification (OS)
Extract artifacts stored by the operating system	DFT-1096	Run programs identification (OS)
Extract artifacts stored by the operating system	DFT-1098	User account analysis (OS)
Extract artifacts stored by the operating system	DFT-1083	Memory examination (OS-level)
Extract artifacts stored by the operating system	DFT-1116	Determine connected devices
Extract artifacts stored by the operating system	DFT-1149	File versioning feature examination
Extract artifacts stored by applications	DFT-1069	Browser examination
Extract artifacts stored by applications	DFT-1137	Browser history examination (s)
Extract artifacts stored by applications	DFT-1138	Browser cache examination (s)
Extract artifacts stored by applications	DFT-1139	Browser session examination (s)
Extract artifacts stored by applications	DFT-1140	Browser autofill examination (s)
Extract artifacts stored by applications	DFT-1141	Browser bookmarks examination (s)
Extract artifacts stored by applications	DFT-1142	Browser downloads examination (s)
Extract artifacts stored by applications	DFT-1143	Browser configuration examination (s)
Extract artifacts stored by applications	DFT-1144	Browser profile enumeration (s)
Extract artifacts stored by applications	DFT-1145	Browser extensions examination (s)
Extract artifacts stored by applications	DFT-1146	Browser synchronization feature examination (s)
Extract artifacts stored by applications	DFT-1147	Browser cookie examination (s)
Extract artifacts stored by applications	DFT-1148	Browser web storage examination (s)
Extract artifacts stored by applications	DFT-1073	Calendar app examination
Extract artifacts stored by applications	DFT-1072	Chat app examination
Extract artifacts stored by applications	DFT-1078	Cloud sync app examination
Extract artifacts stored by applications	DFT-1070	Email examination
Extract artifacts stored by applications	DFT-1075	Maps/travel app examination
Extract artifacts stored by applications	DFT-1077	Photos app examination
Extract artifacts stored by applications	DFT-1074	Social network app examination
Extract artifacts stored by applications	DFT-1105	Memory examination (application-level)
Extract artifacts stored by applications	DFT-1107	Health/Fitness app examination
Extract artifacts stored by applications	DFT-1108	Reminders app examination
Extract artifacts stored by applications	DFT-1109	Payment app examination
Extract artifacts stored by applications	DFT-1133	AI companion app examination
Extract artifacts, or content of specific types	DFT-1021	Configuration file examination
Extract artifacts, or content of specific types	DFT-1071	SQLite database examination
Extract artifacts, or content of specific types	DFT-1076	Log file examination
Extract artifacts, or content of specific types	DFT-1100	EXIF data extraction
Extract artifacts, or content of specific types	DFT-1099	File repair with grafting
Extract artifacts, or content of specific types	DFT-1052	Timeline generation
Extract artifacts, or content of specific types	DFT-1153	Apply offset to a timestamp (s)
Extract artifacts, or content of specific types	DFT-1053	Entity extraction
Extract artifacts, or content of specific types	DFT-1056	Entity connection enumeration
Extract artifacts, or content of specific types	DFT-1120	Automated artifact extraction from app data
Extract artifacts, or content of specific types	DFT-1167	Extract search terms from URLs
Extract artifacts, or content of specific types	DFT-1169	Filter files related to an application
Locate potentially relevant content	DFT-1051	Fuzzy hash matching
Locate potentially relevant content	DFT-1050	Hash matching (locate)
Locate potentially relevant content	DFT-1049	Keyword searching
Locate potentially relevant content	DFT-1125	Keyword search (live) (s)
Locate potentially relevant content	DFT-1126	Keyword search (live) (physical) (s)
Locate potentially relevant content	DFT-1127	Keyword search (live) (logical) (s)
Locate potentially relevant content	DFT-1124	Keyword search (indexed) (s)
Locate potentially relevant content	DFT-1121	Keyword indexing (s)
Locate potentially relevant content	DFT-1122	Keyword search (case-type wordlists) (s)
Locate potentially relevant content	DFT-1123	Keyword search (case-specific wordlists) (s)
Locate potentially relevant content	DFT-1151	Keyword search (over extracted artifacts) (s)
Locate potentially relevant content	DFT-1118	Locate relevant files by path
Locate potentially relevant content	DFT-1086	Timeline analysis
Locate potentially relevant content	DFT-1134	Use time anchors to estimate clock offset (s)
Review content for relevance	DFT-1054	Manual content review for relevant material
Review content for relevance	DFT-1055	File system content inspection
Review content for relevance	DFT-1079	Audio content analysis
Review content for relevance	DFT-1080	Video content analysis
Review content for relevance	DFT-1106	Deep fake detection (video) (s)
Review content for relevance	DFT-1081	Image content analysis
Review content for relevance	DFT-1082	Document content analysis
Detect anti-forensics and other anomalies	DFT-1057	Search for indicators of steganography
Detect anti-forensics and other anomalies	DFT-1058	Search for mismatched file extensions
Detect anti-forensics and other anomalies	DFT-1128	Search for indicators of malware
Detect anti-forensics and other anomalies	DFT-1129	Search for indicators of clock tampering
Detect anti-forensics and other anomalies	DFT-1130	Search for indicators of encrypted data
Detect anti-forensics and other anomalies	DFT-1131	Search for indicators of trail obfuscation
Detect anti-forensics and other anomalies	DFT-1132	Search for indicators of artifact wiping
Establish identities	DFT-1084	Extraction of user accounts
Establish identities	DFT-1085	Identify conflation
Create visualizations	DFT-1103	Virtualise suspect system for previewing
Create visualizations	DFT-1115	Visualisation of geolocation information
Reconstruct events	DFT-1087	Location-based event reconstruction
Reconstruct events	DFT-1088	Relational-based event reconstruction
Reconstruct events	DFT-1117	Time-based event reconstruction
Reconstruct events	DFT-1154	Identity-based event reconstruction
Reconstruct events	DFT-1155	Operation-based event reconstruction
Reconstruct events	DFT-1156	Functional-based event reconstruction
Conduct research	DFT-1090	Experimentation
Conduct research	DFT-1095	Instrumentation
Conduct research	DFT-1089	Source code review
Conduct research	DFT-1101	Cell site survey
Conduct research	DFT-1119	Automatically scan for artifact changes caused by app updates
Produce documentation	DFT-1091	Bookmark artifacts
Produce documentation	DFT-1094	Disclosure
Produce documentation	DFT-1092	Produce tag-based automated report
Produce documentation	DFT-1093	Write expert report
Produce documentation	DFT-1014	Chain of custody documentation
